"Refs","Value","Footprint","Qty","DNP"
"C1","4.7u","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","1u","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C6","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C7","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C8","10n","Capacitor_SMD:C_0805_2012Metric","1",""
"C9","1u","Capacitor_SMD:C_0805_2012Metric","1",""
"C10","100n","Capacitor_SMD:C_0805_2012Metric","1",""
"C11","c","Capacitor_SMD:C_0805_2012Metric","1","DNP"
"C12","c","Capacitor_SMD:C_0805_2012Metric","1","DNP"
"C13","10u","Capacitor_SMD:C_0805_2012Metric","1",""
"C14","10u","Capacitor_SMD:C_0805_2012Metric","1",""
"C15","22u","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","LED","LED_SMD:LED_0805_2012Metric","1",""
"D2","LED","LED_SMD:LED_0805_2012Metric","1",""
"D3","LED","LED_SMD:LED_0805_2012Metric","1",""
"D4","LED","LED_SMD:LED_0805_2012Metric","1",""
"D5","LED","LED_SMD:LED_0805_2012Metric","1",""
"D6","LED","LED_SMD:LED_0805_2012Metric","1",""
"D7","PTVS5V0Z1USKP","Diode_SMD:Nexperia_DSN1608-2_1.6x0.8mm","1",""
"D8","D_Schottky","Diode_SMD:D_0805_2012Metric","1",""
"J2","USB_C_Receptacle_USB2.0_16P","","1",""
"R1","500","Resistor_SMD:R_0805_2012Metric","1",""
"R2","500","Resistor_SMD:R_0805_2012Metric","1",""
"R3","500","Resistor_SMD:R_0805_2012Metric","1",""
"R4","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R5","500","Resistor_SMD:R_0805_2012Metric","1",""
"R6","200","Resistor_SMD:R_0805_2012Metric","1",""
"R7","300","Resistor_SMD:R_0805_2012Metric","1",""
"R8","0","Resistor_SMD:R_0805_2012Metric","1",""
"SW2","SW_Push","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1",""
"SW3","SW_SPDT","","1",""
"TP1","GND","TestPoint:TestPoint_Pad_D1.5mm","1",""
"TP2","VBUS","TestPoint:TestPoint_Pad_D1.5mm","1",""
"TP3","3.3V","TestPoint:TestPoint_Pad_D1.5mm","1",""
"TP4","GND","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill0.7mm","1",""
"U1","STM32G431CBTx","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"U2","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","1",""
"U3","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","1",""
"U4","AZ1117-3.3","Package_TO_SOT_SMD:SOT-223","1",""
"Y1","Crystal_GND24","Crystal:Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm_HandSoldering","1","DNP"
